what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1492872756605
started,bundle,org.eclipse.ui.intro,3.3.2.v20100111_35x,"org.eclipse.ui.intro",1492872756605
started,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1492872756605
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1492872756605
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1492872756606
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1492872756617
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1492872756618
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1492872756650
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1492872756664
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1492872756664
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1492872756664
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1492872756665
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1492872756677
os,sysinfo,,,"win32",1492872756680
arch,sysinfo,,,"x86",1492872756680
ws,sysinfo,,,"win32",1492872756680
locale,sysinfo,,,"en_US",1492872756680
processors,sysinfo,,,"2",1492872756680
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1492872756680
java.runtime.version,sysinfo,,,"1.8.0_65-b17",1492872756680
java.specification.name,sysinfo,,,"Java Platform API Specification",1492872756680
java.specification.vendor,sysinfo,,,"Oracle Corporation",1492872756680
java.specification.version,sysinfo,,,"1.8",1492872756680
java.vendor,sysinfo,,,"Oracle Corporation",1492872756680
java.version,sysinfo,,,"1.8.0_65",1492872756680
java.vm.info,sysinfo,,,"mixed mode",1492872756680
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1492872756680
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1492872756680
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1492872756680
java.vm.specification.version,sysinfo,,,"1.8",1492872756680
java.vm.vendor,sysinfo,,,"Oracle Corporation",1492872756680
java.vm.version,sysinfo,,,"25.65-b01",1492872756680
